# library,nid,name
UtilsForUser,0x79D1C3FA,sceKernelDcacheWritebackAll
UtilsForUser,0xB435DEC5,sceKernelDcacheWritebackInvalidateAll
UtilsForUser,0x3EE30821,sceKernelDcacheWritebackRange
UtilsForUser,0x920F104A,sceKernelIcacheInvalidateAll
UtilsForUser,0x91E4F6A7,sceKernelLibcClock
UtilsForUser,0x71EC4271,sceKernelLibcGettimeofday
UtilsForUser,0x27CC57F0,sceKernelLibcTime

sceAtrac3plus,0x7DB31251,sceAtracAddStreamData
sceAtrac3plus,0x6A8C3CD5,sceAtracDecodeData
sceAtrac3plus,0xD6A5F2F7,sceAtracGetMaxSample
sceAtrac3plus,0x36FAABFB,sceAtracGetNextSample
sceAtrac3plus,0x5D268707,sceAtracGetStreamDataInfo
sceAtrac3plus,0x61EB33F5,sceAtracReleaseAtracID
sceAtrac3plus,0x7A20E7AF,sceAtracSetDataAndGetID
sceAtrac3plus,0x868120B5,sceAtracSetLoopNum

sceAudio,0x6FC46853,sceAudioChRelease
sceAudio,0x5EC81C55,sceAudioChReserve
sceAudio,0x95FD0C2D,sceAudioChangeChannelConfig
sceAudio,0xB7E1D8E7,sceAudioChangeChannelVolume
sceAudio,0xB011922F,sceAudioGetChannelRestLength
sceAudio,0x136CAF51,sceAudioOutputBlocking
sceAudio,0xE2D56B2D,sceAudioOutputPanned
sceAudio,0x13F592BC,sceAudioOutputPannedBlocking
sceAudio,0xCB2E439E,sceAudioSetChannelDataLen

sceCtrl,0x1F803938,sceCtrlReadBufferPositive
sceCtrl,0xA7144800,sceCtrlSetIdleCancelThreshold
sceCtrl,0x6A2774F3,sceCtrlSetSamplingCycle
sceCtrl,0x1F4011E6,sceCtrlSetSamplingMode

sceDisplay,0xEEDA2E54,sceDisplayGetFrameBuf
sceDisplay,0x9C6EAAD7,sceDisplayGetVcount
sceDisplay,0x289D82FE,sceDisplaySetFrameBuf
sceDisplay,0x0E20F177,sceDisplaySetMode
sceDisplay,0x984C27E7,sceDisplayWaitVblankStart

sceDmac,0x617F3FE6,sceDmacMemcpy

sceGe_user,0xB287BD61,sceGeDrawSync
sceGe_user,0xE47E40E4,sceGeEdramGetAddr
sceGe_user,0x1F6752AD,sceGeEdramGetSize
sceGe_user,0xB77905EA,sceGeEdramSetAddrTranslation
sceGe_user,0xAB49E76A,sceGeListEnQueue
sceGe_user,0x03444EB4,sceGeListSync
sceGe_user,0xE0D68148,sceGeListUpdateStallAddr
sceGe_user,0xA4FC06A4,sceGeSetCallback
sceGe_user,0x05DB22CE,sceGeUnsetCallback

sceMpeg,0x800C44DF,sceMpegAtracDecode
sceMpeg,0x0E3C2E9D,sceMpegAvcDecode
sceMpeg,0xD8C5F121,sceMpegCreate
sceMpeg,0x606A4649,sceMpegDelete
sceMpeg,0x874624D6,sceMpegFinish
sceMpeg,0xCEB870B1,sceMpegFreeAvcEsBuf
sceMpeg,0xE1CE83A7,sceMpegGetAtracAu
sceMpeg,0xFE246728,sceMpegGetAvcAu
sceMpeg,0x682A619B,sceMpegInit
sceMpeg,0x167AFD9E,sceMpegInitAu
sceMpeg,0xA780CF7E,sceMpegMallocAvcEsBuf
sceMpeg,0xF8DCB679,sceMpegQueryAtracEsSize
sceMpeg,0xC132E22F,sceMpegQueryMemSize
sceMpeg,0x21FF80E4,sceMpegQueryStreamOffset
sceMpeg,0x611E9E11,sceMpegQueryStreamSize
sceMpeg,0x42560F23,sceMpegRegistStream
sceMpeg,0xB5F6DC87,sceMpegRingbufferAvailableSize
